00时25分00秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
00时26分34秒     all      5.52      0.00      1.00      0.00      0.00     93.48
00时26分35秒     all      5.72      0.00      1.49      0.00      0.00     92.78
00时26分36秒     all      5.59      0.00      1.19      0.00      0.00     93.22
00时26分37秒     all      5.07      0.00      1.16      0.00      0.00     93.77
00时26分38秒     all      5.23      0.00      0.78      0.03      0.00     93.95
00时26分39秒     all      5.81      0.00      1.27      0.00      0.00     92.91
00时26分40秒     all      5.29      0.00      0.94      0.00      0.00     93.77
00时26分41秒     all      5.20      0.00      0.91      0.00      0.00     93.89
00时26分42秒     all      5.82      0.00      1.31      0.00      0.00     92.87
00时26分43秒     all      5.77      0.00      1.50      0.00      0.00     92.74
00时26分44秒     all      5.40      0.00      0.78      0.03      0.00     93.79
00时26分45秒     all      6.10      0.00      1.76      0.00      0.00     92.14
00时26分46秒     all      5.62      0.00      1.06      0.00      0.00     93.32
00时26分47秒     all      6.09      0.00      1.37      0.00      0.00     92.54
00时26分48秒     all      5.60      0.00      1.41      0.00      0.00     93.00
00时26分49秒     all      5.37      0.00      0.78      0.00      0.00     93.85
00时26分50秒     all      6.02      0.00      1.71      0.03      0.00     92.24
00时26分51秒     all      5.44      0.00      0.72      0.00      0.00     93.84
00时26分52秒     all      5.84      0.00      0.72      0.00      0.00     93.43
00时26分53秒     all      5.62      0.00      1.16      0.00      0.00     93.23
00时26分54秒     all      6.06      0.00      1.09      0.00      0.00     92.84
00时26分55秒     all      5.52      0.00      1.40      0.00      0.00     93.08
00时26分56秒     all      6.19      0.00      1.34      0.00      0.00     92.47
00时26分57秒     all      5.06      0.00      0.76      0.00      0.00     94.19
00时26分58秒     all      6.12      0.00      1.27      0.00      0.00     92.60
00时26分59秒     all      5.70      0.00      0.97      0.03      0.00     93.30
00时27分00秒     all      5.99      0.00      1.09      0.00      0.00     92.92
00时27分01秒     all      6.01      0.00      1.03      0.00      0.00     92.96
00时27分02秒     all      5.92      0.00      1.06      0.00      0.00     93.02
00时27分03秒     all      5.60      0.00      0.94      0.00      0.00     93.46
00时27分04秒     all      5.89      0.00      0.85      0.00      0.00     93.26
00时27分05秒     all      6.03      0.00      1.31      0.00      0.00     92.66
00时27分06秒     all      5.98      0.00      0.91      0.00      0.00     93.12
00时27分08秒     all      5.98      0.00      1.24      0.03      0.00     92.75
00时27分09秒     all      6.27      0.00      0.90      0.00      0.00     92.82
00时27分10秒     all      5.72      0.00      0.72      0.00      0.00     93.56
00时27分11秒     all      6.01      0.00      1.55      0.00      0.00     92.44
00时27分12秒     all      6.14      0.00      1.06      0.03      0.00     92.77
00时27分13秒     all      5.93      0.00      1.09      0.00      0.00     92.98
00时27分14秒     all      6.31      0.00      1.06      0.00      0.00     92.62
00时27分15秒     all      6.09      0.00      1.15      0.00      0.00     92.76
00时27分16秒     all      5.88      0.00      1.13      0.00      0.00     92.99
00时27分17秒     all      6.37      0.00      1.16      0.00      0.00     92.48
00时27分18秒     all      6.05      0.00      0.94      0.03      0.00     92.98
00时27分19秒     all      6.47      0.00      1.37      0.00      0.00     92.16
00时27分20秒     all      6.58      0.00      1.03      0.00      0.00     92.40
00时27分21秒     all      6.17      0.00      1.31      0.00      0.00     92.52
00时27分22秒     all      6.46      0.00      1.12      0.00      0.00     92.42
